Smiles,Standard Type,Standard Value,Standard Units
N#CCCCc1cn(-c2nc3ccccc3s2)nn1,Potency,10000.0,nM
COc1ccc2c(c1)CCc1c(C(=O)NCc3ccco3)noc1-2,Potency,6309.6,nM
OCc1ccc(N=Nc2ccccc2)cc1,Potency,3162.3,nM
CC(C)NC(=O)c1ccc(-c2ccccc2C(F)(F)F)o1,Potency,11220.2,nM
Cc1nc(-c2ccc(NC(=O)c3ccc(Br)o3)cc2)cs1,Potency,11220.2,nM
O=[N+]([O-])c1ccc(N2CCc3ccccc3C2)nc1,Potency,11220.2,nM
CCn1ccc(C(=O)Nc2ccc(Cl)cn2)n1,Potency,2511.9,nM
Cc1ccc(OCC(=O)O/N=C(\N)c2ccccn2)cc1,Potency,6309.6,nM
CC(C)Nc1oc(-c2cccc3ccccc23)nc1C#N,Potency,14125.4,nM
O=C(COc1ccc2c(c1)OCO2)Nc1nccs1,Potency,3162.3,nM
O=C(OCc1ccccc1F)c1ccc2c(c1)-c1ccccc1C2=O,Potency,7079.5,nM
O=C(c1ccc(-c2ccccc2Cl)o1)N1CCCC(C(F)(F)F)C1,Potency,12589.3,nM
COc1ccc(C(=O)NC(=O)Nc2ncccc2C)cc1,Potency,2818.4,nM
N=C(NOC(=O)COc1ccc(Cl)cc1Br)c1ccncc1,Potency,2511.9,nM
O=C1C2C3C=CC(CC3)C2C(=O)N1/N=C/c1c[nH]c2ccccc12,Potency,8912.5,nM
CCOCC(=O)Nc1c(C(=O)Nc2ccc3c(c2)OCCO3)oc2ccccc12,Potency,1995.3,nM
Cc1ccc(C(=O)N/C(=C\c2ccccc2)C(=O)OCc2ccccc2)cc1,Potency,7943.3,nM
COc1cccc(NC(=O)Nc2cccs2)c1,Potency,12589.3,nM
Clc1cccc(CNc2ccn3nc(-c4cccs4)cc3n2)c1,Potency,8912.5,nM
Cc1ccc(/C=C2/NC(=O)N(c3ccccc3)C2=O)o1,Potency,7943.3,nM
COc1ccc(-c2csc(NC(=O)c3ccccc3F)c2C(=O)O)cc1,Potency,6309.6,nM
CCCOC1CCCN(C(=O)c2cc(COc3cncc(Cl)c3)on2)C1,Potency,5623.4,nM
Cc1nc2ccc(NC(=O)Cc3ccsc3)cc2s1,Potency,11220.2,nM
Cc1ccccc1-n1c(C)cc(/C=C2\NC(=O)NC2=O)c1C,Potency,10000.0,nM
Cc1oc2cc3oc(=O)c(CCC(=O)NC4CC4)c(C)c3cc2c1C,Potency,6309.6,nM
